TV,Radio,Periodico,Web,Ventas
230.1,37.8,69.2,306.634752025022,22.1
44.5,39.3,45.1,302.653069803585,10.4
17.2,45.9,69.3,49.4989081620376,9.3
151.5,41.3,58.5,257.816893071699,18.5
180.8,10.8,58.4,195.660076265083,12.9
8.7,48.9,75.0,22.072395045394,7.2
57.5,32.8,23.5,246.811598151133,11.8
120.2,19.6,11.6,229.971458573822,13.2
8.6,2.1,1.0,144.617385070719,4.8
199.8,2.6,21.2,111.272263758192,10.6
66.1,5.8,24.2,45.3590285811794,8.6
214.7,24.0,4.0,164.971764071212,17.4
23.8,35.1,65.9,87.9210853668796,9.2
97.5,7.6,7.2,173.658035178221,9.7
204.1,32.9,46.0,245.774960203168,19.0
195.4,47.7,52.9,148.095133573735,22.4
67.8,36.6,114.0,202.638902865364,12.5
281.4,39.6,55.8,41.7553126739813,24.4
69.2,20.5,18.3,210.489910403924,11.3
147.3,23.9,19.1,268.735384090806,14.6
218.4,27.7,53.4,59.9605543350622,18.0
237.4,5.1,23.5,296.952070041388,12.5
13.2,15.9,49.6,219.882776491736,5.6
228.3,16.9,26.2,51.1700725078498,15.5
62.3,12.6,18.3,256.965240491635,9.7
262.9,3.5,19.5,160.562858688843,12.0
142.9,29.3,12.6,275.51248297851,15.0
240.1,16.7,22.9,228.157437211548,15.9
248.8,27.1,22.9,318.644966535019,18.9
70.6,16.0,40.8,61.3243617787902,10.5
292.9,28.3,43.2,121.464346668862,21.4
112.9,17.4,38.6,295.883988927286,11.9
97.2,1.5,30.0,139.781088538087,9.6
265.6,20.0,0.3,94.2072551795318,17.4
95.7,1.4,7.4,321.174609376772,9.5
290.7,4.1,8.5,181.98342350179,12.8
266.9,43.8,5.0,96.3168289054665,25.4
74.7,49.4,45.7,56.5362233777073,14.7
43.1,26.7,35.1,122.753590718832,10.1
228.0,37.7,32.0,196.483268860106,21.5
202.5,22.3,31.6,88.212822753109,16.6
177.0,33.4,38.7,147.859323679624,17.1
293.6,27.7,1.8,174.716820211033,20.7
206.9,8.4,26.4,213.609610465213,12.9
25.1,25.7,43.3,245.764409597756,8.5
175.1,22.5,31.5,62.8092637586553,14.9
89.7,9.9,35.7,216.504015017947,10.6
239.9,41.5,18.5,105.962912724074,23.2
227.2,15.8,49.9,75.2691821753957,14.8
66.9,11.7,36.8,205.253500941004,9.7
199.8,3.1,34.6,151.990733318283,11.4
100.4,9.6,3.6,41.3352553015753,10.7
216.4,41.7,39.6,161.80251213707,22.6
182.6,46.2,58.7,176.050051864605,21.2
262.7,28.8,15.9,324.61517902011,20.2
198.9,49.4,60.0,204.418927423981,23.7
7.3,28.1,41.4,121.328525478589,5.5
136.2,19.2,16.6,60.45435495407,13.2
210.8,49.6,37.7,32.4117395936576,23.8
210.7,29.5,9.3,138.895554318576,18.4
53.5,2.0,21.4,39.2171529280487,8.1
261.3,42.7,54.7,224.832038956079,24.2
239.3,15.5,27.3,312.20955542453,15.7
102.7,29.6,8.4,183.009749773926,14.0
131.1,42.8,28.9,124.382227621442,18.0
69.0,9.3,0.9,205.993485444745,9.3
31.5,24.6,2.2,216.471396605651,9.5
139.3,14.5,10.2,207.661989796442,13.4
237.4,27.5,11.0,291.548596817871,18.9
216.8,43.9,27.2,149.396102923075,22.3
199.1,30.6,38.7,210.75214159775,18.3
109.8,14.3,31.7,151.990733318283,12.4
26.8,33.0,19.3,211.990906653423,8.8
129.4,5.7,31.3,61.306191222756,11.0
213.4,24.6,13.1,156.284261482055,17.0
16.9,43.7,89.4,70.2342817738819,8.7
27.5,1.6,20.7,117.101925291563,6.9
120.5,28.5,14.2,97.4551250122251,14.2
5.4,29.9,9.4,4.308085170818,5.3
116.0,7.7,23.1,120.05350372613,11.0
76.4,26.7,22.3,268.151320189933,11.8
239.8,4.1,36.9,169.946395462747,12.3
75.3,20.3,32.5,231.209828571086,11.3
68.4,44.5,35.6,78.3931037667331,13.6
213.5,43.0,33.8,191.86837417644,21.7
193.2,18.4,65.7,223.578793056205,15.2
76.3,27.5,16.0,193.830894251114,12.0
110.7,40.6,63.2,107.430520584918,16.0
88.3,25.5,73.4,260.101928485204,12.9
109.8,47.8,51.4,162.72789047792,16.7
134.3,4.9,9.3,258.355488109084,11.2
28.6,1.5,33.0,172.467946983908,7.3
217.7,33.5,59.0,150.962753514766,19.4
250.9,36.5,72.3,202.10215807739,22.2
107.4,14.0,10.9,151.990733318283,11.5
163.3,31.6,52.9,155.594876741926,16.9
197.6,3.5,5.9,139.830543936219,11.7
184.9,21.0,22.0,253.300721116225,15.5
289.7,42.3,51.2,183.569584853551,25.4
135.2,41.7,45.9,40.6003504444065,17.2
222.4,4.3,49.8,125.627142925437,11.7
296.4,36.3,100.9,61.0052512204594,23.8
280.2,10.1,21.4,49.8084510057669,14.8
187.9,17.2,17.9,97.0886298117781,14.7
238.2,34.3,5.3,112.155488924136,20.7
137.9,46.4,59.0,138.762632189816,19.2
25.0,11.0,29.7,15.9382079088082,7.2
90.4,0.3,23.2,261.380879442748,8.7
13.1,0.4,25.6,252.391352882458,5.3
255.4,26.9,5.5,273.454125242173,19.8
225.8,8.2,56.5,95.1857622652413,13.4
241.7,38.0,23.2,180.511527852672,21.8
175.7,15.4,2.4,71.682551158367,14.1
209.6,20.6,10.7,42.8837963298216,15.9
78.2,46.8,34.5,76.7704275585537,14.6
75.1,35.0,52.7,204.276713935851,12.6
139.2,14.3,25.6,234.183117572887,12.2
76.4,0.8,14.8,234.384501077144,9.4
125.7,36.9,79.2,187.84041481356,15.9
19.4,16.0,22.3,112.892608783244,6.6
141.3,26.8,46.2,65.5254608336917,15.5
18.8,21.7,50.4,63.8549242662049,7.0
224.0,2.4,15.6,89.5158206474401,11.6
123.1,34.6,12.4,15.7571907978102,15.2
229.5,32.3,74.2,88.0807214205642,19.7
87.2,11.8,25.9,121.090982224816,10.6
7.8,38.9,50.6,209.471977307257,6.6
80.2,0.0,9.2,358.24704159201,8.8
220.3,49.0,3.2,187.43706015998,24.7
59.6,12.0,43.1,197.196554350489,9.7
0.7,39.6,8.7,162.90259085242,1.6
265.2,2.9,43.0,172.156658960084,12.7
8.4,27.2,2.1,238.05521897011,5.7
219.8,33.5,45.1,171.478018246717,19.6
36.9,38.6,65.6,81.2467484409241,10.8
48.3,47.0,8.5,61.2273230720102,11.6
25.6,39.0,9.3,77.2307974058472,9.5
273.7,28.9,59.7,288.260610741856,20.8
43.0,25.9,20.5,181.368740486077,9.6
184.9,43.9,1.7,106.253828909229,20.7
73.4,17.0,12.9,174.772137498233,10.9
193.7,35.4,75.6,152.284936864985,19.2
220.5,33.2,37.9,6.00743619768122,20.1
104.6,5.7,34.4,336.571094526683,10.4
96.2,14.8,38.9,157.440046783737,11.4
140.3,1.9,9.0,231.883385136047,10.3
240.1,7.3,8.7,23.4969432709605,13.2
243.2,49.0,44.3,151.990733318283,25.4
38.0,40.3,11.9,75.20797752362,10.9
44.7,25.8,20.6,235.622448569844,10.1
280.7,13.9,37.0,81.0406170528684,16.1
121.0,8.4,48.7,103.255211972924,11.6
197.6,23.3,14.2,159.522558691201,16.6
171.3,39.7,37.7,155.016223813387,19.0
187.8,21.1,9.5,63.0712083229227,15.6
4.1,11.6,5.7,113.270711663954,3.2
93.9,43.5,50.5,74.3619393961122,15.3
149.8,1.3,24.3,145.803211057558,10.1
11.7,36.9,45.2,185.86607907364,7.3
131.7,18.4,34.6,196.370304386538,12.9
172.5,18.1,30.7,207.496800591823,14.4
85.7,35.8,49.3,188.93352971734,13.3
188.4,18.1,25.6,158.461520131017,14.9
163.5,36.8,7.4,82.2287937952012,18.0
117.2,14.7,5.4,109.008763173986,11.9
234.5,3.4,84.8,135.024908532633,11.9
17.9,37.6,21.6,99.9369527686985,8.0
206.8,5.2,19.4,115.371956788489,12.2
215.4,23.6,57.6,203.431266560359,17.1
284.3,10.6,6.4,157.900109854414,15.0
50.0,11.6,18.4,64.0148047509709,8.4
